"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","User Service","0","Positive Tests: V2 APIs","0","2","Scenario: Verify Logout Does Not Affect Other Active Sessions","0"
"0","Origination Service","0","Positive Tests: Response Payload Reduction (V2 APIs)","0","1","Get Offers By OfferID","0"
"0","User Service","0","Positive Tests: V2 APIs","0","1","POST Disable User V2","0"
"0","Offer Simulation","1","Positive Tests: Simulation Offer","0","0","Accept Offer","0"
"0","User Service","0","Positive Tests: Franchise APIs","1","0","Update Franchise","0"
"0","Origination Service","0","Positive Tests: Response Payload Reduction (V2 APIs)","0","5","Get Partners List","0"
"0","User Service","0","Negative Tests: V2 APIs","0","1","Get System Config - PATCH Verification v2","0"
"1","Detach Tyre Specification","0","Negative Tests: Detach Tyre Specification","0","1","","0"
"0","User Service","0","Positive Tests: V2 APIs","0","1","Patch Update Password V2","0"
"1","User Service","0","Positive Tests: V2 APIs","0","0","","0"
"0","Origination Service","0","Positive Tests: Response Payload Reduction (V2 APIs)","0","5","Get Offers List","0"
"0","User Service","0","Positive Tests: V2 APIs","0","1","Post Lookup V2","0"
"0","Detach Tyre Specification","0","Positive Tests: Detach Tyre Specification","0","1","Complete Car","0"
"0","Origination Service","0","Positive Tests: Response Payload Reduction (V2 APIs)","0","1","Get Loan By ID","0"
"1","Detach Tyre Specification","0","Positive Tests: Detach Tyre Specification","0","0","","0"
"0","Origination Service","0","Positive Tests: Response Payload Reduction (V2 APIs)","0","1","Get Accepted offer by loan id","0"
"0","User Service","0","Positive Tests: V2 APIs","0","1","Delete System Config V2","0"
"0","Offer Simulation","0","Positive Tests: Simulation Offer","1","0","GetCar Details","0"
"1","User Service","0","Negative Tests: V2 APIs","0","0","","0"
"0","Detach Tyre Specification","0","Positive Tests: Detach Tyre Specification","0","1","Get tyre specs after inspection","0"
"0","Detach Tyre Specification","0","Positive Tests: Detach Tyre Specification","0","1","Update Car","0"
"0","User Service","0","Negative Tests: V2 APIs","0","2","Get System Config v2","0"
"0","User Service","0","Positive Tests: V2 APIs","0","1","Get Me V2","0"
"0","User Service","0","Positive Tests: V2 APIs","0","1","Post Refresh V2","0"
"0","Origination Service","0","Positive Tests: Response Payload Reduction (V2 APIs)","0","1","Get booking info for logbook loan","0"
"0","User Service","0","Positive Tests: Franchise APIs","1","0","Reject Franchise","0"
"0","Detach Tyre Specification","0","Positive Tests: Detach Tyre Specification","0","1","Get TyreSpecs","0"
"0","Detach Tyre Specification","0","Positive Tests: Detach Tyre Specification","0","1","Get tyre specs after update car","0"
"0","User Service","0","Positive Tests: V2 APIs","0","1","Reset System Config to initial state","0"
"0","Detach Tyre Specification","0","Negative Tests: Detach Tyre Specification","0","1","Create Car","0"
"0","User Service","0","Positive Tests: V2 APIs","0","1","Post logout-all by Admin","0"
"0","Origination Service","0","Positive Tests: Response Payload Reduction (V2 APIs)","0","1","Get Offers By LoanID","0"
"1","Inventory Service","0","Positive Tests: Dynamic Response","0","0","","0"
"0","User Service","0","Positive Tests: V2 APIs","0","1","Post User Login V2","0"
"0","User Service","0","Negative Tests: V2 APIs","0","1","Patch System Config v2","0"
"1","Origination Service","0","Negative Tests: Response Payload Reduction (V2 APIs)","0","0","","0"
"0","Offer Simulation","0","Negative Tests: Simulation Offer","1","0","GetCar Details","0"
